event_id,user_id,session_id,event_type,product_id,product_name,category,price,timestamp,device,country,revenue,quantity
f4b0e051-2636-4f92-bebf-98b33749fe79,user_0023,c896ae44,page_view,prod_0009,Diverse analyzing support,Sports,39.33,2025-11-27T22:19:03.616477,desktop,BR,,
2c4a9219-a893-4b3a-ade8-e1c2466f5e37,user_0006,08da43a7,purchase,prod_0016,Upgradable executive concept,Eletronics,495.89,2025-11-06T15:33:59.616477,desktop,UK,495.89,1.0
60bf2d42-a15a-4f22-aeec-9e930b0e2fce,user_0040,c311f3f5,page_view,prod_0024,Balanced fresh-thinking interface,Home,90.26,2025-11-25T11:25:16.616477,tablet,CA,,
ddf19036-1f25-4f4f-966d-cee7f304e1d0,user_0058,c72b9d68,purchase,prod_0007,Universal exuding installation,Home,94.1,2025-11-24T21:56:18.616477,desktop,UK,94.1,3.0
ffb351fd-2230-48fb-9d33-80e8bf153533,user_0013,d328c77f,add_to_cart,prod_0037,Re-engineered bi-directional algorithm,Home,151.45,2025-11-07T11:20:29.616477,mobile,UK,,
db34e91a-40aa-406d-8574-693772fbc9eb,user_0003,d7dd06bd,page_view,prod_0021,Profound demand-driven open system,Home,13.2,2025-11-28T20:09:15.616477,desktop,DE,,
c2f0f0ec-db68-4e98-a946-470da10259ca,user_0076,6c589d19,add_to_cart,prod_0002,Business-focused analyzing utilization,Home,337.68,2025-11-12T06:37:28.616477,mobile,US,,
b8d077b1-44ed-45b5-b04b-b1fc4c5d0a95,user_0092,79aed7df,purchase,prod_0015,Right-sized non-volatile pricing structure,Books,272.79,2025-11-20T08:15:30.616477,tablet,BR,272.79,3.0
96ef45c7-91cf-4f78-b5c8-e7301873fe3b,user_0011,5a6f9ba7,page_view,prod_0049,Re-contextualized uniform alliance,Books,56.92,2025-11-05T20:09:00.616477,tablet,DE,,
cdc16046-97dc-456d-ac78-1e05dd223025,user_0096,6986993c,page_view,prod_0018,Vision-oriented even-keeled core,Clothing,487.44,2025-11-18T15:30:08.616477,desktop,UK,,
42c1d409-dc3c-4c91-8cb1-95c3e30a7346,user_0000,0e5e0ac9,purchase,prod_0023,Proactive composite attitude,Clothing,350.49,2025-11-24T08:34:00.616477,desktop,DE,350.49,3.0
00743d5d-c889-4eac-873d-4061279d1f70,user_0039,89c2bf6f,page_view,prod_0025,Front-line multimedia encoding,Eletronics,28.19,2025-11-27T08:32:23.616477,tablet,CA,,
05d3f772-85fb-450e-a48d-edc106cdc34d,user_0041,7629f82e,page_view,prod_0020,Sharable clear-thinking superstructure,Books,38.63,2025-11-22T18:51:53.616477,tablet,FR,,
3fc6ee9f-f1dc-4053-94a4-00f8166032c4,user_0066,cffefe23,add_to_cart,prod_0006,Managed executive leverage,Books,95.73,2025-11-22T11:55:48.616477,tablet,FR,,
499d09b9-a831-4934-8b0a-d05f1e26f614,user_0005,ef893e27,page_view,prod_0012,Innovative high-level capability,Sports,381.12,2025-11-23T11:17:06.616477,tablet,CA,,
612987c2-17a1-48a4-b602-ab3d9c9d4169,user_0030,6170190a,page_view,prod_0002,Business-focused analyzing utilization,Home,337.68,2025-11-23T22:20:54.616477,mobile,BR,,
b7a91f14-2587-4f21-8297-0a1a5f2a5468,user_0005,1540962c,add_to_cart,prod_0005,Visionary web-enabled portal,Sports,148.77,2025-12-02T16:44:57.616477,mobile,FR,,
a2dd7d8e-a833-4461-8ce2-b95231d635f0,user_0044,4c3659a4,page_view,prod_0047,Universal client-server budgetary management,Eletronics,124.2,2025-11-27T14:41:33.616477,desktop,US,,
128de712-2f7b-42fd-a672-2fab422ef7dc,user_0005,3853fd31,page_view,prod_0007,Universal exuding installation,Home,94.1,2025-11-23T13:14:40.616477,desktop,DE,,
9d416b42-af37-49ea-9427-02f61142279b,user_0068,2f9ac8bb,add_to_cart,prod_0023,Proactive composite attitude,Clothing,350.49,2025-12-02T16:28:56.616477,tablet,FR,,
8d293d20-a4b8-46bf-b9f6-745c9aedf06f,user_0090,4914c018,page_view,prod_0018,Vision-oriented even-keeled core,Clothing,487.44,2025-11-07T09:33:21.616477,desktop,DE,,
02e1c275-f43c-4f4e-9de1-17190a453b60,user_0002,bf47423f,page_view,prod_0016,Upgradable executive concept,Eletronics,495.89,2025-11-11T22:10:51.616477,tablet,US,,
15f581aa-af38-4fb2-bd27-4a306e8e5da0,user_0064,6a422398,purchase,prod_0029,Innovative coherent installation,Home,100.9,2025-11-11T02:39:41.616477,mobile,CA,100.9,1.0
8366cf21-5209-46a5-a6e7-1a3a10033750,user_0066,fd6c2ede,page_view,prod_0005,Visionary web-enabled portal,Sports,148.77,2025-11-11T17:31:38.616477,mobile,FR,,
ae9f167b-10cf-4df0-ac72-5999d48a5fa0,user_0068,5ce31763,purchase,prod_0000,Future-proofed grid-enabled website,Sports,50.79,2025-11-06T07:01:48.616477,tablet,DE,50.79,1.0
a0afce6c-8da4-4439-b09d-9250e2b1f924,user_0012,37914b0d,page_view,prod_0023,Proactive composite attitude,Clothing,350.49,2025-11-24T07:56:18.616477,desktop,FR,,
9a0b44f6-3092-4ee4-9d3e-f39f7098f558,user_0045,ae507321,page_view,prod_0040,Sharable impactful hierarchy,Clothing,341.65,2025-12-01T10:29:21.616477,mobile,DE,,
ffce3e03-b574-47c3-a77c-56d6708fc570,user_0049,0c13a858,page_view,prod_0037,Re-engineered bi-directional algorithm,Home,151.45,2025-11-14T10:36:29.616477,tablet,BR,,
f6c66cbd-0525-4aef-bff9-9e633ba1ebd7,user_0013,44cdabab,page_view,prod_0009,Diverse analyzing support,Sports,39.33,2025-11-28T03:50:47.616477,tablet,CA,,
